epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.798,2.13163,2.86528,1.8811,0.31132,0.27447,0.22018,0.07983,2.14166,2.43808,1.8421,0.000662037,0.000662037,0.000662037
2,72.8927,1.99801,2.34164,1.79793,0.35104,0.2617,0.23436,0.08811,2.1596,2.5219,1.97888,0.0013024,0.0013024,0.0013024
3,108.954,1.98087,2.22678,1.78855,0.39851,0.3617,0.33101,0.13501,2.09379,2.06908,1.89105,0.00191635,0.00191635,0.00191635
4,145.076,1.95502,2.18029,1.80392,0.30913,0.3234,0.23761,0.09211,2.09966,2.2273,1.88086,0.0018812,0.0018812,0.0018812
5,181.184,1.94635,2.07273,1.80937,0.4674,0.37344,0.36094,0.15351,2.05834,2.02984,1.81878,0.0018416,0.0018416,0.0018416
6,217.367,1.90405,2.01753,1.75821,0.46171,0.4234,0.36839,0.15904,1.95053,1.9254,1.76992,0.001802,0.001802,0.001802
7,253.685,1.85231,1.97353,1.73244,0.5234,0.42526,0.41025,0.17577,1.9794,1.81838,1.75987,0.0017624,0.0017624,0.0017624
8,289.906,1.84853,1.89849,1.68686,0.49031,0.42369,0.38363,0.17631,1.91326,1.95463,1.69356,0.0017228,0.0017228,0.0017228
9,326.26,1.80173,1.81326,1.66728,0.54049,0.40851,0.41508,0.19358,1.89407,1.78355,1.70134,0.0016832,0.0016832,0.0016832
10,362.565,1.78171,1.80671,1.64776,0.50862,0.4383,0.43038,0.19072,1.952,1.75356,1.7226,0.0016436,0.0016436,0.0016436
11,398.975,1.77028,1.78038,1.64331,0.51366,0.47641,0.47086,0.20196,1.88875,1.77315,1.70657,0.001604,0.001604,0.001604
12,435.444,1.77849,1.78737,1.66089,0.52996,0.42128,0.41747,0.19276,1.87885,1.76847,1.69671,0.0015644,0.0015644,0.0015644
13,471.876,1.71884,1.73193,1.62393,0.53012,0.46596,0.45845,0.20225,1.91789,1.68113,1.72464,0.0015248,0.0015248,0.0015248
14,508.581,1.72957,1.72214,1.62465,0.54655,0.46596,0.47752,0.22094,1.89396,1.61926,1.72442,0.0014852,0.0014852,0.0014852
15,545.305,1.71446,1.70192,1.60175,0.56562,0.45957,0.48217,0.22555,1.86167,1.68162,1.65233,0.0014456,0.0014456,0.0014456
16,582.126,1.66959,1.64001,1.57832,0.51331,0.37021,0.39256,0.18813,1.8717,1.90813,1.67198,0.001406,0.001406,0.001406
17,618.932,1.64317,1.64292,1.60058,0.48608,0.49787,0.4711,0.20774,1.88854,1.62565,1.70432,0.0013664,0.0013664,0.0013664
18,655.89,1.66914,1.66925,1.5983,0.52213,0.41702,0.43127,0.21002,1.86625,1.72137,1.65167,0.0013268,0.0013268,0.0013268
19,692.924,1.6615,1.6124,1.56874,0.54178,0.40426,0.44078,0.21133,1.87659,1.73368,1.66531,0.0012872,0.0012872,0.0012872
20,729.967,1.618,1.57799,1.55441,0.53152,0.44255,0.46422,0.20887,1.94251,1.5934,1.7129,0.0012476,0.0012476,0.0012476
21,767.135,1.6194,1.57212,1.54209,0.46338,0.51076,0.45809,0.21155,1.92181,1.62126,1.70029,0.001208,0.001208,0.001208
22,804.234,1.55808,1.49515,1.51936,0.56305,0.44468,0.49784,0.22475,1.8962,1.66342,1.67945,0.0011684,0.0011684,0.0011684
23,841.338,1.58423,1.50619,1.51201,0.52193,0.4234,0.44855,0.21654,1.89178,1.65139,1.67864,0.0011288,0.0011288,0.0011288
24,878.386,1.58254,1.50136,1.52054,0.52474,0.48298,0.47933,0.21747,1.88931,1.52811,1.67509,0.0010892,0.0010892,0.0010892
25,915.521,1.5493,1.46343,1.48704,0.53361,0.46383,0.47725,0.21975,1.87669,1.54921,1.66437,0.0010496,0.0010496,0.0010496
26,952.631,1.52501,1.43276,1.46034,0.52818,0.41915,0.43957,0.20623,1.89134,1.68097,1.68418,0.00101,0.00101,0.00101
27,989.827,1.55218,1.43585,1.5015,0.55574,0.41915,0.4621,0.22216,1.86599,1.65455,1.66341,0.0009704,0.0009704,0.0009704
28,1026.97,1.51839,1.44387,1.47418,0.52627,0.45957,0.46543,0.22805,1.91832,1.5502,1.6872,0.0009308,0.0009308,0.0009308
