epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5578,2.44371,1.72406,1.62373,0.45216,0.37076,0.35053,0.13167,2.2362,1.565,1.50805,0.000664011,0.000664011,0.000664011
2,140.469,2.24135,1.55151,1.45644,0.48505,0.42213,0.40063,0.15057,2.15558,1.50575,1.45733,0.00130433,0.00130433,0.00130433
3,208.532,2.17944,1.47526,1.41431,0.50154,0.41722,0.40982,0.16069,2.13941,1.50542,1.47159,0.00191825,0.00191825,0.00191825
4,276.85,2.13973,1.4455,1.40532,0.51762,0.44859,0.45099,0.1766,2.10363,1.41114,1.41784,0.0018812,0.0018812,0.0018812
5,345.893,2.12105,1.41995,1.37973,0.52593,0.47217,0.4627,0.17568,2.07714,1.40386,1.40108,0.0018416,0.0018416,0.0018416
6,413.98,2.08641,1.3877,1.36836,0.55578,0.48811,0.49105,0.19129,2.09008,1.39596,1.40439,0.001802,0.001802,0.001802
7,482.524,2.0887,1.37587,1.35001,0.53947,0.49463,0.48168,0.187,2.07993,1.37176,1.38419,0.0017624,0.0017624,0.0017624
8,550.973,2.05676,1.35206,1.34363,0.54103,0.49435,0.4939,0.20172,2.0525,1.29939,1.37361,0.0017228,0.0017228,0.0017228
9,619.38,2.0475,1.33806,1.33886,0.56648,0.48642,0.50667,0.20514,2.01824,1.29358,1.34459,0.0016832,0.0016832,0.0016832
10,687.612,2.01305,1.31005,1.32704,0.57398,0.50623,0.51709,0.21386,2.01039,1.29742,1.35817,0.0016436,0.0016436,0.0016436
11,755.777,2.00634,1.28284,1.3177,0.56862,0.52067,0.53078,0.21696,2.00821,1.279,1.34411,0.001604,0.001604,0.001604
12,824.069,1.99583,1.28882,1.31735,0.61649,0.52256,0.55278,0.2258,1.98444,1.2333,1.34018,0.0015644,0.0015644,0.0015644
